문제,해설,정답
[국가공인 1호 한경 TESAT]광산회사의 탐사팀이 인도네시아에서 대규모 우량 금광을 발견했다. 현장 소장은 전화로 서울의 사장에게 이 사실을 보고했다. 다음날 이 사실이 시장에 알려지고 회사의 주가는 폭등했다. 이 사실이 시장에 알려지기 전에 미리 알고 이 회사의 주식을 매수하는 것이 원칙적으로 허용되는 사람은 누구인가 ?,"① 사장② 회사 법률고문인 변호사③ 전화통화 때 사장실에 있던 사장 비서④ 사장으로부터 해당 정보를 받은 사장 조카⑤ 회사 현황을 독자적으로 조사한 애널리스기업과 특수한 관계에 있는 사람이 그의 직무 또는 지위에 의해 얻은 정보를 이용,불공정한 주식매매를 하는 행위를 내부자거래(insider trading)라고 한다. 공개되지 않은 기업 인수·합병(M&A),증자나 감자,자산재평가,신규 투자계획 등 기업 비밀정보를 갖고 주식을 매매하면 부당이익을 취할 수 있는 가능성이 크다. 이 같은 사례를 막기 위해 '자본시장과 금융투자업에 관한 법률(약칭 자본시장법)'은 상장법인의 임직원 또는 대리인이나 주요 주주로서 업무 등과 관련, 투자자의 투자판단에 중대한 영향을 미칠 수 있는 미공개 주요 정보를 직무와 관련해 알게 된 자와 이들로부터 정보를 받은 자는 그 정보를 이용해 유가증권을 매매하는 것을 금지하고 있다. 문제에서 사장이나 법률고문인 변호사,사장 비서,사장 조카는 모두 광산회사의 내부자다. 따라서 이들이 미공개 정보를 이용해 이 광산회사 주식을 사고팔면 내부자거래에 해당돼 처벌을 받는다. 반면 회사 현황을 독자적으로 조사,금광을 발견한 사실을 알게 된 애널리스트는 내부자가 아니어서 이 광산회사 주식을 매수하는 게 원칙적으로 허용된다. 미국에서는 최근 기업 내부정보를 빼내 막대한 이득을 남긴 헤지펀드의 거물 라즈 라자라트남에게 징역 11년을 선고했다. 미국 사법사상 내부자거래 피고인에게 내린 최고 형량이다. 반면 국내에서는 내부자거래가 '솜방망이 처벌'에 그치고 있다는 지적이 적지 않다. 한편 내부자거래와 비슷한 내부거래라는 용어가 있는데 이는 같은 기업집단에 속한 회사(계열사) 간에 상품이나 서비스를 사고팔거나 인력을 지원하는 등의 거래행위를 의미한다. 정답 ⑤",
[국가공인 1호 한경 TESAT]원화 환율 변동이 초래하는 경제적 현상에 대한 설명으로 올바른 것은?,"① 원화 가치의 상승은 수출을 촉진한다.② 대미 달러 환율이 상승하면 수입품 가격이 올라간다.③ 환율 변동은 상품수지에 영향을 주지 않는다.④ 환율이 급격히 상승하면 상품 및 서비스 수지는 즉각적으로 개선된다.⑤ 원화 가치가 떨어지면 국내 소비자물가는 하락한다.환율은 국제수지와 성장,물가 등 국민경제에 적지 않은 영향을 미친다. 환율이 상승하면 수입품 가격은 올라간다. 예를 들어 1억달러의 원유를 수입할 경우 1달러=1100원일 때는 1100억원이 들지만 환율이 1달러=1200원으로 오르면 1200억원이 든다. 수입품 가격이 상승하는 것이다. 그래서 환율 상승은 수입품 가격을 올려 물가에는 악재다. 환율이 상승하면 또 상품 및 서비스 수지가 장기적으로 개선된다. 수출가격이 비싸져 수출단가를 내릴 여지가 커지고 이에 따라 수출 상품의 경쟁력이 올라가기 때문이다. 하지만 환율이 상승하면 초기엔 수출 물량엔 큰 변동이 없는 반면 수출품 가격은 하락하고 수입품 가격이 상승함으로써 무역수지가 악화되기도 하는 데 이를 J커브 효과라고 부른다. 환율과 통화가치는 반비례한다. 원화가치가 상승한다는 것은 환율이 하락한다는 얘기로,환율이 하락하면 수출이 아니라 수입이 촉진된다. 원화가치가 떨어지면,다시 말해 환율이 상승하면 수입품 가격은 뛰어 소비자물가는 오른다. 따라서 한국에서 경기를 살리려면 고환율 정책을,경기보다는 물가안정이 경제정책의 목표인 경우엔 저환율 정책이 일반적으로 사용된다. 정답 ②",
[국가공인 1호 한경 TESAT]중앙은행이 이자율을 인하하려는 계획을 세웠다. 이와 관련된 다음 설명 중 옳지 않은 것은?① 중앙은행은 공개시장조작의 일환으로 국공채를 매입하여야 한다.② 경기가 빨리 살아나지 않는다고 판단될 때 이러한 정책이 바람직하다.③ 우리나라에서는 RP(환매조건부채권) 금리가 정책 목표로 이용된다.④ 중앙은행 정책과 독립적으로 시장에서 국공채 수요가 증가할 경우 필요한 통화량 증가 폭은 커진다.⑤ 이자율 인하로 소비와 투자 증가가 예상된다.,"정부와 중앙은행이 경기변동에 대응에 정부가 쓸 수 있는 정책으론 크게 재정정책과 금융통화정책이 있다. 경기를 부양시키기 위해선 △재정지출을 확대하고 △기준금리를 낮추며 △통화량을 늘리는 정책이 동원된다. 위축된 총수요를 자극시키는 것이다. 중앙은행이 이자율을 낮추려면 기준금리를 인하하거나 공개시장조작을 실시,국공채를 매입해야 한다. 한국은행이 기준금리 조정시 대상으로 하고 있는 금융상품은 만기 7일의 RP(환매조건부채권)다. 따라서 한국은행이 기준금리를 연 3.25%로 결정했다는 것은 RP 7일물의 금리를 연 3.25% 수준이 되도록 통화정책을 운용하겠다는 뜻이다. 또 중앙은행이 공개시장조작을 통해 금융사 등이 갖고 있는 국공채를 사들이면 돈이 시중에 풀리는 효과가 있다. 이처럼 기준금리가 인하되고 시중에 돈이 풀려 시중 이자율이 낮아지면 자금을 빌리는 비용 부담이 줄어들어 소비와 투자를 자극하게 된다. 소비와 투자가 늘어나면 경기는 침체에서 벗어난다. 하지만 간혹 이자율이 낮고 시중에 돈이 많아도 소비와 투자가 늘어나지 않는 경우도 있는데 이를 '유동성 함정(liquidity trap)'이라고 한다. 경제주체들이 돈을 움켜쥐고 쓰지 않아 경제가 함정(trap)에 빠진 것처럼 보이는 상태다. 유동성 함정은 경제주체들이 미래를 극히 어둡게 전망할 때 발생한다. 정답 ④",
[국가공인 1호 한경 TESAT]우리나라 법률은 특정 기업의 자산 규모 등을 기준으로 주식 소유나 기타 행위 등을 제한하고 있다. 다음 중 여기에 해당되지 않는 것은?,"① 상호출자 제한② 채무보증 제한③ 은행 주식 소유 제한④ 자산총액 대비 출자비율 제한⑤ 금융계열사 의결권행사 제한세계 각국은 독과점에 따른 폐해를 방지하고 경쟁을 제한하거나 불공정한 거래행위를 규제, 공정하고 자유로운 경쟁질서를 확립하기 위해 법으로 일정 부분 시장을 규제하고 있다. 우리나라도 '독점규제 및 공정거래에 관한 법률(약칭 공정거래법)'이 제정돼 시행 중이다. 하지만 국내 공정거래법은 외국과는 달리 한 가지 특징이 있는데 경제력 집중을 억제한다는 이유로 자산 규모를 기준으로 대규모 기업집단을 선정,추가로 규제하는 게 그것이다. 현재 55개 기업집단 소속 1605개 사가 여기에 해당한다. 대규모 기업집단으로 선정되면 상호출자와 채무보증이 제한된다. 계열 금융사가 가진 계열사 지분의 의결권 행사도 제한된다. 금융사를 통한 대기업의 사업 확장을 방지하려는 것이다. 또 대기업들은 은행 주식도 마음대로 살 수 없다. 은행법에 따르면 대기업들은 은행 주식을 시중은행의 경우 4%,지방은행은 15%를 초과해 취득할 수 없다. 산업자본과 금융자본을 분리시키려는 금산분리 정책의 일환이다. 전국경제인연합회나 대기업들은 기업 규모가 크다고 경영을 규제하는 것은 세계적으로 유례가 없는 일로 기업 경쟁력을 갉아먹는 것이라며 폐지해야 한다고 주장하고 있다. 정답 ④",
[국가공인 1호 한경 TESAT]경영 실패로 문을 닫게 된 부진저축은행의 2011년 말 재무상태 표는 다음과 같다. 장부상 자산은 100억원으로 기록되어 있으나 정밀 실사를 해보니 85억원으로 나타났다. 부진저축은행의 부채는 일반채권 80억원，후순위채권 10억원으로 구성됐다고 할 때 후순위채권자와 은행 주주들이 청산 배당금으로 각각 받을 수 있는 금액은?① 0원， 0원② 5000만원， 0원③ 5억원， 0원④ 5억원， 5억원⑤ 10억원， 5억원경영부실로 문을 닫게 되는 저축은행에는 예금보험공사가 파산관재인을 파견해 파산 절차를 진행하게 된다. 먼저 자산과 부채를 정밀실사해 해당 저축은행의 남은 자산이 얼마인지를 가린다. 실사 결과 남은 자산이 있으면 먼저 일반채권을 갚는 데 쓴다.,,③
[국가공인 1호 한경 TESAT]국내에도 곧 헤지펀드가 도입될 예정이다. 다음 중 헤지펀드의 특징이라고 보기 어려운 것은?,"① 주식 이외에도 원자재 파생상품 통화 등 투자대상이 매우 다양하다.② 헤지펀드에 돈을 댄 투자자나 헤지펀드의 자산 운용 내역은 투명하게 공개되지 않는 게 보통이다.③ 대부분 불특정 다수를 대상으로 하는 공모가 아닌 소수 특정인들을 대상으로 투자자를 모집한다.④ 기업을 인수해 구조조정 등을 통해 기업가치를 높인 뒤 되파는 것이 주요 투자수단이다.⑤ 다양한 투자수요를 충족시키지만 고위험 고수익 투자로 큰 손실을 입는 경우도 종종 있다.헤지펀드(Hedge Fund)는 투자 위험(리스크) 대비 높은 수익을 추구하는 펀드를 의미한다. 시장 상황에 관계없이 절대수익을 추구하는 펀드라고 규정하기도 한다. '시장 금리+α'의 안정적인 수익을 추구하는 펀드가 대부분이지만 치고 빠지기 식의 초단타 투자를 일삼는 펀드도 적지 않다. 이에 따라 국제금융시장을 교란시키는 주범이라는 비난도 듣는다. '헤지'란 본래 위험을 회피ㆍ분산시켜 자산을 안전하게 지킨다는 뜻이다. 헤지펀드가 처음으로 등장한 것은 1949년이다. 미국의 경제잡지 포천의 기자로 활동했던 앨프리드 윈슬로 존스가 자신의 돈 4만달러를 포함，총 10만달러를 모은 것이 시초로 알려져 있다. 헤지펀드는 투자대상이 아주 다양하고,돈을 댄 투자자들이나 자산운용 내역은 공개되지 않으며,소수 특정인을 대상으로 투자자를 모집하는 경우가 대부분이다. 때론 하이리스크 하이리턴 상품에 투자해 큰 손실을 입는 경우도 있다. 이에 비해 기업을 인수해 가치를 높인 뒤 되파는 걸 목적으로 하는 펀드는 사모투자펀드(PEF)라고 한다. 정답 ④",
[국가공인 1호 한경 TESAT]금융회사의 준법감시인에 관한 다음 설명 중 옳지 않은 것은? ① 회사 임직원들의 내부통제기준의 준수 여부를 점검하고 조사하여 감사위원회에 보고한다.② 본질적으로 리스크관리 업무를 수행한다.③ 전문성이 가장 중요한 자질이므로 금융감독기관을 퇴직하고 바로 관련 민간 금융회사의 준법감시인에 취임할 수 있다.④ 금융투자회사의 준법감시인은 이사회 결의로 임면하며 금융위원회에 통보된다.⑤ 준법감시인은 직무수행과 관련된 사유로 인한 부당한 인사상의 불이익을 받지 않는다.,금융회사에서 임직원들이 자산관리，위험관리，고객관리 등에 있어 규정을 준수하는지 점검하고 불법행위를 저지르고 있지 않은지를 감시하는 사람이 준법감시인이다. 임직원들이 법을 위반할 경우 이를 감사위원회와 금융감독원에 보고해야 한다. 고객이 맡긴 자산의 선량한 관리자로서 금융회사와 그 종사자가 규정，정책，절차를 철저하게 준수하도록 함과 동시에 회사의 일반정책과 내규를 준수토록 내부적으로 사전적，상시적으로 통제ㆍ감시하는 제도를 '컴플라이언스(Compliance) 제도'라고 한다. 우리나라에서는 '준법감시인' 제도로 일컬어진다. 2000년 10월부터 은행 증권 보험 자산운용사 등 모든 금융회사에 대해 준법감시인 설치가 의무화됐으며，저축은행의 준법감시인 제도도 2001년 하반기부터 의무화됐다. 본질적으로 리스크관리 업무에 속하며 이사회 결의로 임면한다. 또 직무수행과 관련한 사유로 인사상 불이익을 받지 않는다. 정답 ③,
[국가공인 1호 한경 TESAT]민주주의는 정치인들이 유권자들의 표를 얻기 위해 경쟁하는 시스템이다. 공공선택이론은 이 같은 정치적 경쟁을 통해서 형성되는 정책의 특성을 몇 가지로 규정하고 있다. 다음 중 그 특징과 가장 거리가 먼 것은? ① 적자예산보다는 균형예산② 성장정책보다는 분배정책③ 장기적인 정책보다는 단기적 정책④ 원칙의 정책보다는 이해관계의 정책⑤ 보편적 이익을 위한 정책보다는 차별적 정책,대부분의 경제학자들은 공해와 같은 외부경제가 존재하거나 공원 등대와 같은 공공재의 경우에 발생하는 '시장 실패'를 해결하기 위해 정부의 시장 개입이 필요하다고 생각한다. 정부 개입이 시장의 실패를 교정할 수 있다고 보는 것이다.,①
[국가공인 1호 한경 TESAT]국제회계기준(IFRS)에 관한 설명으로 옳은 것은?,"① 우리나라는 2009년부터 모든 기업에 적용해왔다.② IFRS를 적용하면 자산 · 부채는 취득원가로 평가된다.③ 부동산가격 상승으로 자산재평가를 하더라도 다른 여건에 변화가 없다면 세부담액에는 변화가 없다.④ 미국이 먼저 도입한 후 보급을 주도하고 있다.⑤ 부동산가격이 오른 경우 공정가치 평가기준에 따라 2005년 말 공장부지 용도로 구입한 토지는 상승한 가격으로 회계처리된다.IFRS(International Financial Reporting Standards)는 런던 소재 민간기구인 국제회계기준위원회(IASB)가 1973년에 제정한 것으로 미국 회계기준(US-GAAP)과 더불어 글로벌 회계기준의 역할을 해왔다. 2002년 엔론,월드콤 등의 회계 부정사건을 계기로 미 재무회계기준위원회(FASB)는 미 회계기준을 IFRS와 합치시키기 위해 협의를 진행했으며 그 결실로 2002년 9월 FASB와 IASB의 합동회의 이후 IFRS는 글로벌 단일회계표준으로서의 위상을 확보했다. IFRS의 특징은 △규칙에 근거(rule-based)한 회계처리보다는 회계담당자가 경제적 실질에 기초해 회계처리를 하는 원칙중심(principle-based) △연결재무제표가 주재무제표인 연결회계 중심 △장부가(취득원가)보다는 현재의 자산가치에 초점을 맞추는 공정가치(fair-value accounting) 중심이라는 점을 꼽을 수 있다. 우리나라는 올 들어 상장사，상장예정기업，비상장 금융사(저축은행 · 리스 · 할부금융사 제외)부터 의무적으로 적용하고 있다. 정답 ⑤",
[국가공인 1호 한경 TESAT]어느 나라의 총인구가 4000만명，15세 미만 인구가 2000만명，비경제활동인구가 1000만명，취업자 900만명，실업자 100만명이라고 하자.이때 경제활동참가율과 실업률을 구하면?경제활동참가율은 15세 이상 인구 중에서 경제활동인구가 차지하는 비율이다. 경제활동인구는 실업자와 취업자를 합한 것이다. 문제에서 경제활동인구는 취업자 900만명에 실업자 100만명을 더한 1000만명이다. 전체 인구 4000만명 중 15세 이상 인구는 2000만명이므로 경제활동참가율은 50%다. 실업률은 실업자 수를 경제활동인구로 나눠 100을 곱해 구한다. 경제활동인구는 1000만명이고 실업자는 100만명이므로 실업률은 10%다. 실업률은 직업이 없는 상태를 나타내는 지표로선 다소 불완전하다.,,④
"[국가공인 1호 한경 TESAT]외부효과에 대한 다음 설명 중 옳지 않은 것은?① 어떤 경제주체의 행위가 다른 경제주체의 효용에 영향을 미치는 현상을 말한다.② 예방접종으로 전염병 전염 가능성이 감소하는 것은 외부경제다.③ 자동차 배기가스 배출 제한이 적은 나라일수록 외부불경제가 크다.④ 외부효과가 있는 경우 효율적 자원배분을 위해 정부의 시장개입이 필요하다.⑤ 부정적 외부효과가 있으면 시장에서 결정되는 생산량이 사회적으로 바람직한 수준보다 적어진다.시장이 자유롭게 기능하도록 맡겨둘 경우 효율적인 자원배분을 달성하지 못하는 경우가 있다. 이를 시장실패(market failure)라고 한다. 외부효과(externality)란 한 사람의 행위가 제3자의 경제적 후생에 영향을 미치는 현상으로 시장실패를 초래하는 한 원인이다. 다른 사람의 경제적 후생수준을 낮추는 외부효과를 부정적 외부효과라 하고,반대로 다른 사람에게 이득을 주는 외부효과를 긍정적 외부효과라고 한다. 환경오염은 부정적 외부효과의 고전적 사례다. 부정적 외부효과가 존재하면 그 상품의 생산을 위해 기업이 치르는 사적비용은 사회 전체가 치르는 비용보다 적다. 정답 ⑤",,
"[국가공인 1호 한경 TESAT]사과 시장에서 반드시 사과 가격이 상승하는 경우는?① 사과에 대한 수요가 감소할 때② 사과에 대한 공급이 증가할 때③ 사과에 대한 수요와 공급이 모두 감소할 때④ 사과에 대한 수요와 공급이 모두 증가할 때⑤ 사과에 대한 수요는 증가했지만 공급은 감소할 때다수의 공급자와 수요자가 존재하는 완전경쟁시장에서 한 상품이나 서비스 가격은 수요와 공급이 일치하는 점에서 결정된다. 시장수요곡선과 시장공급곡선이 만나는 점이 균형이며,이 점의 가격이 바로 균형가격(equilibrium price)이다. 만약 한 상품의 수요가 줄거나 공급이 늘어날 경우 공급이 수요를 초과한 공급과잉 현상이 발생해 가격은 하락한다. 한 상품의 가격이 반드시 상승하는 경우는 수요가 증가했지만 공급은 감소할 때다. 정답 ⑤",,
[국가공인 1호 한경 TESAT]다음 정치가나 사상가 중에서 시장경제 원리 및 자유주의 이념과 관련해 나머지 사람들과 다른 사상을 주장한 인물은?,"① 하이에크② 케인스③ 레이건 전 미국 대통령④ 밀턴 프리드먼⑤ 대처 전 영국 총리정부와 시장 간의 관계는 경제학자와 정치가들 사이에서도 오랜 논쟁거리다. 한쪽에선 경제성장이나 공정한 소득분배 등을 위해 정부가 강력히 시장에 개입해야 한다고 주장하는 반면 다른 쪽에선 정부의 개입은 민간의 창의성과 혁신을 훼손해 오히려 부작용만 낳을 것이라고 역설한다. 자유주의는 '작은 정부'와 민간의 창의성을 중시한다. 하이에크는 자유주의의 대표적 경제학자다. 그는 자율적 질서로 만들어진 시장만이 인류를 번영의 길로 이끈다며 모든 계획경제에 철저히 반대했다. '가격과 생산'，'노예에의 길 (The Road to Serfdom)' 등이 대표적 저서다. 시카고 대학의 통화주의 학파를 이끈 프리드먼도 정부의 시장개입에 반대,미리 정해진 준칙적 통화정책의 중요성을 강조했다.",②
[국가공인 1호 한경 TESAT]다음 정치가나 사상가 중에서 시장경제 원리 및 자유주의 이념과 관련해 나머지 사람들과 다른 사상을 주장한 인물은? (1) 하이에크(2) 케인스(3) 레이건 전 미국 대통령(4) 밀턴 프리드먼(5) 대처 전 영국 총리,"정부와 시장 간의 관계는 경제학자와 정치가들 사이에서도 오랜 논쟁거리다. 한쪽에선 경제성장이나 공정한 소득분배 등을 위해 정부가 강력히 시장에 개입해야 한다고 주장하는 반면 다른 쪽에선 정부의 개입은 민간의 창의성과 혁신을 훼손해 오히려 부작용만 낳을 것이라고 역설한다. 자유주의는 '작은 정부'와 민간의 창의성을 중시한다. 하이에크는 자유주의의 대표적 경제학자다. 그는 자율적 질서로 만들어진 시장만이 인류를 번영의 길로 이끈다며 모든 계획경제에 철저히 반대했다. '가격과 생산'，'노예에의 길 (The Road to Serfdom)' 등이 대표적 저서다. 시카고 대학의 통화주의 학파를 이끈 프리드먼도 정부의 시장개입에 반대,미리 정해진 준칙적 통화정책의 중요성을 강조했다.",②
[국가공인 1호 한경 TESAT]근로자의 생산성을 높이기 위해 시장균형임금보다 높은 수준에서 지급되는 임금을 무엇이라고 하는가? ① 연봉제② 성과급제③ 최저임금④ 효율성임금⑤ 시간외할증임금,"근로자의 임금은 일반적으로 노동생산성을 감안한 기업의 지급능력,물가상승률을 고려한 근로자들의 생계비,동종업종의 다른 업체 임금 수준,노동시장의 수급관계,노사관계 등에 의해 결정된다. 일반적으로 근로자의 생산성이 높으면 임금이 많고,낮으면 적다. 이에 대해 효율성임금(efficiency wage) 이론은 이를 정반대로 설명하고 있다. 즉 근로자의 임금이 많으면 생산성이 올라간다고 보는 것이다. 근로자들이 받는 임금이 많으면 △근로자들의 건강 상태가 좋아져 생산성이 높아지고 △이직률이 줄며 △직장을 잃지 않으려고 열심히 일하게 되고 △재능 있는 인재들이 찾아오게 되므로 자연히 생산성이 올라간다는 것이다. 이처럼 효율성임금은 기업이 효율(근로자들의 생산성)을 높이기 위해 기업 스스로 노동력의 수요와 공급에 따른 균형임금보다 많이 지급하는 임금이다.",④
[국가공인 1호 한경 TESAT]다음 중 마찰적 실업으로 볼 수 있는 경우는?,"① 희정이는 경기침체 여파로 회사에서 해고되었다.② 영수는 더 좋은 직장을 찾기 위해 헤드헌터의 정보를 기다리고 있다.③ 산업구조 재편으로 농업부문 일자리가 감소하였다.④ 컴퓨터 그래픽 기술 발달로 영화사 인력이 크게 줄었다.⑤ 외국 금융기관의 국내 진출로 국내 금융기관들이 신규 고용을 대폭 줄였다.일할 능력과 의사를 갖고 있어도 일자리가 없는 상태인 실업은 크게 마찰적 실업(frictional unemployment)과 구조적 실업(structural unemployment)으로 나뉜다. 노동자들이 자신에게 가장 잘 맞는 직장을 찾는 데는 시간이 걸린다. 이처럼 구직자들이 직장을 구하는 과정에서 발생하는 실업을 마찰적 실업이라고 한다. 예를 들어 학교를 졸업하고 직장을 찾는 사람,더 나은 직장을 찾기 위해 실업 상태인 사람,거주지를 옮겨 새로운 지역에서 직장을 찾는 사람 등이 여기에 해당한다. 정부의 직업탐색 프로그램은 마찰적 실업을 줄이는 반면 실업보험은 마찰적 실업을 증가시키는 결과를 초래한다. 반면 구조적 실업은 노동의 공급이 수요를 초과해서 발생하는 실업이다. 구조적 실업은 임금이 노동의 수요와 공급이 같아지는 임금보다 높기 때문에 발생한다. 보기에서 헤드헌터의 정보를 기다리는 영수의 경우를 마찰적 실업으로 볼 수 있다. 정답 ②",
[국가공인 1호 한경 TESAT]경기가 회복기 → 확장기 → 후퇴기 → 수축기 → 회복기의 순으로 순환한다고 가정할 때 네 가지 경기국면별로 나타나는 일반적인 경제 현상에 대한 설명으로 옳지 않은 것은？,"① 수축기에는 기업 파산이 늘어나면서 금융기관의 부실자산이 증가한다.② 확장기에는 기업의 수익성과 현금흐름이 호전되어 파산위험이 크게 감소한다.③ 확장기에는 경기에 대한 낙관론이，수축기에는 경기에 대한 비관론이 확산된다.④ 후퇴기에는 기업의 수익성 악화로 투자를 위한 자금 수요가 초기부터 크게 감소한다.⑤ 회복기에는 판매 증가로 기업의 수익성이 개선되는 데 초기에는 실제 설비투자를 위한 자금수요가 많지 않을 수 있다.경기는 경제 각 부문의 평균적인 상태，즉 '국민경제의 총체적인 활동수준'을 의미한다. 일반적으로 경기가 좋다는 것은 생산 투자 소비 등이 통상 기대하는 평균수준 이상으로 활발한 경우다. 경기는 확장(expansion)·후퇴(recession)·수축(contraction)·회복(recovery) 과정을 반복하면서 끊임없이 변동한다. 이를 경기순환(business cycle)이라고 한다. 무엇이 경기순환을 일으키고 정부는 이 순환에 어떻게 대응해야 하는가는 경제학자들 사이에 아직도 논쟁거리로 남겨져 있다. 경제주체들 사이에 비관적 전망의 확산,생산성을 획기적으로 증대시키는 신기술 발명,통화정책의 변화 등으로 야기된 총수요와 총공급 곡선의 급격한 이동이 경기순환의 원인으로 꼽힌다. 수축기에는 기업 파산이 늘어나고 금융사의 부실자산이 늘어난다. 회복기 초기엔 실제 설비투자를 위한 자금수요가 많지 않을 수 있고,확장기에는 파산위험이 크게 줄어든다. 하지만 후퇴기 초기에는 투자자금 수요가 여전히 많은 게 보통이다. 확장기의 관성으로 경제주체들이 경기가 이미 꺾였다는 사실을 모르고 여전히 투자를 하려고 하기 때문이다. 정답 ④",
[국가공인 1호 한경 TESAT]다음 중 특정 저축은행의 건전성을 개선하는 가장 효과적인 방법은?,"① 예금을 더 많이 유치한다.② 기업대출을 증가시킨다.③ 유상증자를 실시한다.④ 보유하고 있는 채권을 매각한다.⑤ 외국 금융기관으로부터 장기차입을 늘린다.금융회사의 건전성을 개선하는 길은 부실화될 우려가 있는 위험자산을 줄이는 한편으로 위험에 대비할 수 있는 자기자본을 늘리는 것이다. 그래서 국제적 금융감독 규정을 제정하는 국제결제은행(BIS)은 자기자본비율을 금융사 건전성 판단의 핵심 지표로 삼고 있다. 우리나라 금융감독 당국은 은행의 경우 BIS 자기자본비율 8%,저축은행은 5%를 기준으로 우량 금융사와 비우량 금융사를 판단한다. 따라서 저축은행의 건전성을 개선하는 가장 효과적인 방법은 자기자본을 늘리는 것이다. 보기에서 예금을 더 많이 유치하거나 기업대출을 늘리는 건 건전성하고는 큰 관련이 없다. 보유 채권을 매각하는 것은 회계상 채권이 현금으로 바뀌는 것일 뿐 역시 건전성 개선과는 무관하다. 외국 금융기관으로부터 장기차입을 늘리는 건 차입금이 늘어나 오히려 건전성을 해칠 가능성이 있다. 유상증자는 외부에서 새로운 자금이 저축은행 내부로 유입,자기자본을 늘리게 돼 건전성을 높이게 된다. 정답 ③",
[국가공인 1호 한경 TESAT]전반적으로 물가가 급등하고 있을 때 정부가 쓸 수 있는 정책이 아닌 것은?,"① 관세 인하② 수입 억제③ 제한적인 가격 규제④ 통화가치 상승 유도⑤ 경쟁적 시장질서 도입물가가 오르는 이유는 크게 두 가지로 나누어 설명할 수 있다. 하나는 총수요가 늘어나는 경우다. 총수요가 늘어나는데 총공급이 제자리일 경우 가격은 뛰게 된다. 이를 수요견인 인플레이션(demand-pull inflation)이라고 한다. 또 하나는 총공급이 줄어들거나 원자재 가격의 상승 등으로 비용이 상승하는 경우다. 기후가 나빠 배추 작황이 부진해 배추값이 오르거나 국제 원유가격이 상승할 경우 역시 물가가 뛰게 된다. 이를 비용인상 인플레이션(cost-push inflation)이라고 부른다. 따라서 물가를 잡기 위한 정부의 정책은 수요를 억제하거나 공급을 늘리는 데 초점이 맞춰지고 있다. 관세 인하는 수입을 늘림으로써 경쟁을 촉진,물가를 낮추는 역할을 한다. 경쟁적 시장질서의 도입도 마찬가지다. 또 자국 통화가치를 올리는 것(환율 하락)도 수입가격을 낮춰 물가에는 도움이 된다. 정부가 직접 특정 상품이나 서비스의 최고가격을 정해 규제할 수도 있다.",②
[국가공인 1호 한경 TESAT]'여물통'이라고 하는 미국 의회정치의 구태를 비난하는 용어로 정치인들이 지역 주민의 인기에 민감한 나머지 지역구 선심사업을 위해 정부 예산을 최대한 많이 확보하려는 행태를 뜻한다. 정책보조금을 얻으려고 모여드는 의원들이 마치 농장에서 농장주가 여물통에 한 조각의 고기를 던져줄 때 모여드는 노예같다는 뜻에서 나온 이 용어는?,① 포크 배럴② 콜렛-헤이그 규칙③ 윔블던 효과④ 스노볼⑤ 너트 크래커정치인들은 선거에서 승리하기 위해 권력과 능력을 극대화하는 게 목표다. 이런 이유에서 해마다 예산철이 되면 의원들은 지역구 선심사업을 위해 정부 돈을 최대한 따내려고 동분서주한다. 이 같은 행태를 빗대 나온 용어가 바로 '포크 배럴(돼지 여물통)'이다. '콜렛-헤이그(Corlett & Hague) 규칙'은 사회적 효율성과 공평성을 최적화하기 위해 노동 관련 세율은 낮게，여가 관련 세율은 높게 매기는 것을 뜻한다. '윔블던 효과(Wimbledon Effect)'란 외국자본이 국내시장을 지배하는 현상을 가리키는 경제 용어다. '스노볼'은 눈덩이란 뜻으로 세계적 투자자인 워런 버핏이 사용하면서 유명해졌다. 버핏은 작은 덩어리로 시작해서 굴리다 보면 끝에 가서는 정말 큰 눈덩이가 되듯 삶도 스노볼과 같다고 말했다. '너트 크래커(nut-cracker)'는 호두를 양면에서 눌러 까는 호두까기 기계를 말하는 데 한 나라가 선진국에 비해서는 기술과 품질 경쟁에서，개발도상국에 비해서는 가격 경쟁에서 밀리는 현상을 지칭할 때 쓰인다.정답 ①,
[국가공인 1호 한경 TESAT]다음 중 극심한 재정적자로 인해 나타나는 현상으로 볼 수 없는 것은?① 물가 상승② 이자율 상승③ 통화가치 하락④ 정부 신인도 하락⑤ 현재 납세자들로부터 미래 납세자들로 부(富) 이전,정부의 경제정책 수단은 크게 재정정책과 금융·통화정책으로 나눠볼 수 있다. 경기가 침체돼 있을 때 정부는 지출을 확대하거나 통화량을 늘리는 방법으로 총수요를 자극하게 된다. 하지만 경기부양을 위해 지나치게 풀린 재정은 여러 부작용을 낳을 수 있다. 우선 국가 부채 증가에 따른 정부의 신인도가 하락할 우려가 있다. 또 과도하게 풀린 자금은 물가를 끌어올리고 통화가치를 떨어지게 한다.,⑤
